Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX
2014-04-25,31664.0,44844.0,35373.89884640531,35068.33,27588.76046998211,24578.700941971285,-16732.526553509633
2014-04-26,39987.0,36947.0,39705.875855754195,38654.1239,35857.997060685615,34383.81898330188,-11964.061700310009
2014-04-27,33046.0,21268.0,35140.19761499513,41014.99,28982.492987328216,28640.011112460583,-19463.964842579517
2014-04-28,28579.0,33607.0,32028.103433113123,35606.31,25138.126599150637,23941.59544337786,-23369.578079670777
2014-04-29,20979.0,23092.0,28239.276158630975,32159.41,22885.204695360808,20916.68750921986,-19283.1679055483
2014-04-30,27203.0,32375.0,30990.36143457432,36495.66,23027.844604341728,21853.568967839477,-22278.90168105697
2014-05-01,32355.0,28846.0,31914.7903324793,35298.38,24566.028771244943,23866.637274788965,-22150.472438317116
2014-05-02,27610.0,31664.0,33399.335718098046,39304.69,27436.26661389913,26905.12480603357,-19184.459484309882
2014-05-03,35397.0,39987.0,40830.47785645009,37300.6839,35705.50320460264,35892.644174872796,-14783.049163226744
2014-05-04,28691.0,33046.0,35813.094108878264,35751.11,28829.99913124524,28884.851146738136,-21283.045131799612
2014-05-05,24988.0,28579.0,30128.33363035733,32151.29,24985.63274306766,25963.043933964385,-25169.672789643468
2014-05-06,24333.0,20979.0,30473.764739624043,35278.32,22732.71083927783,24613.75578701763,-20975.67766645236
2014-05-07,31478.0,27203.0,31835.01838088101,32538.44,22875.350748258752,25632.277674118817,-23465.12932869691
2014-05-08,26659.0,32355.0,32268.822349145237,37877.83,24413.534915161963,26397.069595909245,-26583.234137263244
2014-05-09,30153.0,27610.0,32541.32524023071,38117.81,27283.77275781615,30225.737393463725,-18883.48342423646
2014-05-10,31718.0,35397.0,38967.13296444656,35807.47,35553.009348519656,38944.56438048965,-15342.752695702331
2014-05-11,29969.0,28691.0,38395.496565740585,39520.3,28677.505275162257,33966.9903641599,-23988.119119231917
2014-05-12,29371.0,24988.0,30999.71551648656,31214.21,24833.138886984678,30157.092058924303,-27368.464663811654
2014-05-13,26777.0,24333.0,32479.0596087636,34812.0,22580.21698319485,28185.513495436553,-25832.45063525719
2014-05-14,22342.0,31478.0,32814.65243130919,35380.51,22722.85689217577,28506.02682650339,-25303.19519716441
2014-05-15,22544.0,26659.0,32604.877534787804,37493.69,24261.041059078983,30416.214276954048,-27782.11883773478
2014-05-16,29088.0,30153.0,37220.42855518669,34985.26,27131.27890173317,34735.02380970873,-24322.480823295024
2014-05-17,34437.0,31718.0,39307.35267981678,41353.49,35400.51549243668,42252.26175941687,-20313.439139991584
2014-05-18,32105.0,29969.0,35019.25333575228,41371.17,28525.01141907928,34556.90430734733,-28389.23818609903
2014-05-19,26032.0,29371.0,33668.68194716015,35203.84,24680.645030901702,32707.374912182564,-31187.35930042502
2014-05-20,28459.0,26777.0,30522.319323581673,33821.96,22427.72312711187,28632.873061764058,-29429.846847317505
2014-05-21,32291.0,22342.0,32059.49378302433,35436.79,22570.363036092793,30984.505295907788,-30729.535543391365
2014-05-22,28053.0,22544.0,31320.36392335496,35090.82,24108.547202996004,31509.027767143853,-31790.869266822196
2014-05-23,30731.0,29088.0,33600.852084222446,37505.99,26978.78504565019,33923.057609146,-29153.939686436643
2014-05-24,58328.0,34437.0,40683.8747540959,38047.28,35248.0216363537,42731.41712243634,2733.4128316042224
2014-05-25,49652.0,32105.0,38513.15913096784,41920.44,28372.517562996298,35710.454039814445,-4753.833257833685
2014-05-26,60625.0,26032.0,31645.603730922216,32672.19,24528.15117481872,31853.716908616683,-6330.548773909984
2014-05-27,25394.0,28459.0,30347.778288909547,31942.46,22275.22927102889,27460.572611146166,-30084.478276030117
2014-05-28,29732.0,32291.0,32909.451614263795,36803.67,22417.86918000981,28621.918234661374,-32713.157519422297
2014-05-29,24520.0,28053.0,33428.38845160389,36114.72,23956.053346913024,30081.00712343487,-33502.364606973664
2014-05-30,25364.0,30731.0,32919.06798343317,37418.64,26826.29118956721,31527.649317309522,-28954.220049016047
2014-05-31,27963.0,58328.0,44736.62433658383,36403.93,35095.52778027072,38684.19414085551,-28071.470415118558
2014-06-01,28911.0,49652.0,40688.84914963902,40304.7439,28220.02370691332,33691.914884083446,-33875.328477953255
2014-06-02,30687.0,60625.0,37750.61399303909,35307.41,24375.657318735743,28694.930728678653,-39008.67583971001
2014-06-03,25898.0,25394.0,29990.176712466022,31378.03,22122.73541494591,27108.030178342528,-34795.695137271505
2014-06-04,20502.67,29732.0,32899.29561956409,35744.04,22265.375323926834,28177.84563557552,-35633.40140499185
2014-06-05,26316.0,24520.0,30643.0748278392,34621.5,23803.559490830045,28398.786478469414,-37454.158298318864
2014-06-06,29047.0,25364.0,31848.964314564964,35800.98,26673.79733348423,30809.548011523984,-33121.18363849849
2014-06-07,23995.0,27963.0,36593.408252184934,39382.66,34943.03392418774,38636.03852900916,-28941.27174196841
2014-06-08,26657.0,28911.0,36474.98662232489,43101.18,28067.52985083034,31731.57381840096,-38206.833754246545
2014-06-09,25653.0,30687.0,32320.404061018147,31569.03,24223.163462652763,27633.06463355196,-39201.32484006909
2014-06-10,25444.0,25898.0,30728.48951185107,30854.37,21970.24155886293,24074.029027042194,-36070.52215473265
2014-06-11,21892.0,20502.67,28530.781301011826,34723.8,22112.88146784385,24428.59581771495,-39135.869720815135
2014-06-12,29002.0,26316.0,29979.12452711231,34795.67,23651.065634747065,24681.211197401688,-40121.26112725635
2014-06-13,29613.0,29047.0,32381.899769974025,38037.73,26521.303477401252,27455.598037174255,-35693.35857119896
2014-06-14,26359.0,23995.0,36423.02172345402,37810.28,34790.54006810476,36313.53459814492,-32481.7112162865
