lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
-1750.0,15.0,0.0659,0,0,0.0004,4,0,0.0001,2,0,0.001,1,0,0.0526,0,0,0.0,8,0,0.0009,0,0
-3395.0,14.0,0.0659,0,0,0.0004,3,0,0.0001,2,0,0.0015,1,0,0.0529,0,0,0.0,8,0,0.0009,0,0
-3395.0,14.0,0.0659,0,0,0.0004,3,0,0.0001,2,0,0.001,1,0,0.0529,0,0,0.0,8,0,0.0009,0,0
-5040.0,13.0,0.0659,0,0,0.0004,3,0,0.0001,2,0,0.001,0,0,0.0712,0,0,0.0,8,0,0.0009,0,0
-5040.0,13.0,0.0659,0,0,0.0004,3,0,0.0001,2,0,0.001,0,0,0.0712,0,0,0.0001,8,0,0.0001,0,0
-6720.0,12.0,0.0722,0,0,0.0004,6,0,0.0,6,0,0.0015,0,0,0.0517,0,0,0.0,0,0,0.0001,0,0
-6720.0,12.0,0.0722,0,0,0.0004,6,0,0.0001,6,0,0.0015,0,0,0.0517,0,0,0.0,0,0,0.0001,0,0
-8365.0,11.0,0.0729,0,0,0.0004,6,0,0.0003,2,0,0.001,1,0,0.0515,0,0,0.0,2,0,0.0037,0,0
-8365.0,11.0,0.0724,0,0,0.0004,3,0,0.0001,8,0,0.0017,0,0,0.0527,0,0,0.0037,0,0,0.0143,0,0
-10010.0,10.0,0.0729,0,0,0.0004,6,0,0.0005,2,0,0.001,0,0,0.0538,0,0,0.0,2,0,0.0037,0,0
-10010.0,10.0,0.0729,0,0,0.0004,6,0,0.0005,2,0,0.001,0,0,0.0533,0,0,0.0,2,0,0.0037,0,0
-11690.0,9.0,0.0656,0,0,0.001,3,0,0.0003,6,0,0.0013,0,0,0.0527,0,0,0.0002,0,0,0.0001,0,0
-11690.0,9.0,0.0656,0,0,0.001,3,0,0.0003,6,0,0.0013,0,0,0.0527,0,0,0.0002,0,0,0.0001,0,0
-13335.0,8.0,0.0659,0,0,0.0004,6,0,0.0005,2,0,0.0017,0,0,0.071,0,0,0.0,0,0,0.0009,0,0
-13335.0,8.0,0.0659,0,0,0.0004,6,0,0.0005,2,0,0.0017,0,0,0.071,0,0,0.0,0,0,0.0009,0,0
-15015.0,7.0,0.0659,0,0,0.0004,4,0,0.0003,2,0,0.001,1,0,0.0712,0,0,0.0006,0,0,0.0009,0,0
-15015.0,7.0,0.0659,0,0,0.0004,6,0,0.0005,1,0,0.0017,0,0,0.071,0,0,0.0,0,0,0.0009,0,0
-16660.0,6.0,0.0662,0,0,0.0004,4,0,0.0002,2,0,0.001,0,0,0.0513,0,0,0.0001,0,0,0.0009,0,0
-16660.0,6.0,0.0662,0,0,0.0004,4,0,0.0002,2,0,0.001,0,0,0.0513,0,0,0.0001,0,0,0.0009,0,0
-18305.0,5.0,0.0724,0,0,0.0004,3,0,0.0001,2,0,0.0017,0,0,0.053,0,0,0.0037,0,0,0.0143,0,0
-18305.0,5.0,0.0724,0,0,0.0004,3,0,0.0001,2,0,0.0017,0,0,0.053,0,0,0.0037,0,0,0.0,0,0
-19985.0,4.0,0.0656,0,0,0.001,3,0,0.0003,1,0,0.001,0,0,0.0528,0,0,0.0001,0,0,0.0001,0,0
-19985.0,4.0,0.0724,0,0,0.0004,3,0,0.0001,1,0,0.0017,0,0,0.053,0,0,0.0037,0,0,0.0143,0,0
