iteration,score,profit,units
459,-31360.0,31360.0,9919
460,-31360.0,31360.0,9919
461,-31360.0,31360.0,9919
462,-31360.0,31360.0,9919
463,-31360.0,31360.0,9919
464,-31360.0,31360.0,9919
465,-31360.0,31360.0,9919
466,-31360.0,31360.0,9919
467,-31675.0,31675.0,9919
468,-31675.0,31675.0,9919
469,-31675.0,31675.0,9919
470,-31675.0,31675.0,9919
471,-31675.0,31675.0,9919
472,-31675.0,31675.0,9919
473,-31675.0,31675.0,9919
474,-31675.0,31675.0,9919
475,-31675.0,31675.0,9919
476,-31675.0,31675.0,9919
477,-31675.0,31675.0,9919
478,-31675.0,31675.0,9919
479,-31675.0,31675.0,9919
480,-31850.0,31850.0,9919
481,-31850.0,31850.0,9919
482,-32375.0,32375.0,9955
483,-32375.0,32375.0,9955
484,-32375.0,32375.0,9955
485,-32375.0,32375.0,9955
486,-32375.0,32375.0,9955
487,-32375.0,32375.0,9955
488,-32375.0,32375.0,9955
489,-32375.0,32375.0,9955
490,-32375.0,32375.0,9955
491,-32375.0,32375.0,9955
492,-32375.0,32375.0,9955
493,-32375.0,32375.0,9955
494,-32375.0,32375.0,9955
495,-32375.0,32375.0,9955
496,-32375.0,32375.0,9955
497,-32375.0,32375.0,9955
498,-32690.0,32690.0,9967
499,-32690.0,32690.0,9967
500,-32690.0,32690.0,9967
501,-32690.0,32690.0,9967
502,-32690.0,32690.0,9967
503,-33215.0,33215.0,9967
504,-33215.0,33215.0,9967
505,-33215.0,33215.0,9967
506,-33215.0,33215.0,9967
507,-33215.0,33215.0,9967
508,-33215.0,33215.0,9967
509,-33215.0,33215.0,9967
510,-33215.0,33215.0,9967
511,-33215.0,33215.0,9967
512,-33215.0,33215.0,9967
513,-33215.0,33215.0,9967
514,-33215.0,33215.0,9967
515,-33215.0,33215.0,9967
516,-33215.0,33215.0,9967
517,-33215.0,33215.0,9967
518,-33215.0,33215.0,9967
519,-33215.0,33215.0,9967
520,-33215.0,33215.0,9967
521,-33215.0,33215.0,9967
522,-33215.0,33215.0,9967
523,-33460.0,33460.0,9991
524,-33460.0,33460.0,9991
525,-33460.0,33460.0,9991
526,-33460.0,33460.0,9991
527,-33460.0,33460.0,9991
528,-33460.0,33460.0,9991
529,-33460.0,33460.0,9991
530,-33460.0,33460.0,9991
531,-33460.0,33460.0,9991
532,-33460.0,33460.0,9991
533,-33460.0,33460.0,9991
534,-33460.0,33460.0,9991
535,-33460.0,33460.0,9991
536,-33460.0,33460.0,9991
537,-33460.0,33460.0,9991
538,-33460.0,33460.0,9991
539,-33460.0,33460.0,9991
540,-33460.0,33460.0,9991
541,-33460.0,33460.0,9991
542,-33460.0,33460.0,9991
543,-33460.0,33460.0,9991
544,-33460.0,33460.0,9991
545,-33460.0,33460.0,9991
546,-33460.0,33460.0,9991
547,-33460.0,33460.0,9991
548,-33460.0,33460.0,9991
549,-33460.0,33460.0,9991
550,-33460.0,33460.0,9991
551,-33460.0,33460.0,9991
552,-33460.0,33460.0,9991
553,-33460.0,33460.0,9991
554,-33460.0,33460.0,9991
555,-33460.0,33460.0,9991
556,-33460.0,33460.0,9991
557,-33460.0,33460.0,9991
558,-33460.0,33460.0,9991
559,-33460.0,33460.0,9991
560,-33460.0,33460.0,9991
561,-33460.0,33460.0,9991
562,-33460.0,33460.0,9991
563,-33495.0,33495.0,9991
564,-33495.0,33495.0,9991
565,-33495.0,33495.0,9991
566,-33495.0,33495.0,9991
567,-33495.0,33495.0,9991
568,-33495.0,33495.0,9991
569,-33495.0,33495.0,9991
570,-33495.0,33495.0,9991
571,-33495.0,33495.0,9991
572,-33495.0,33495.0,9991
573,-33495.0,33495.0,9991
574,-33495.0,33495.0,9991
575,-33495.0,33495.0,9991
576,-33495.0,33495.0,9991
577,-33495.0,33495.0,9991
578,-33495.0,33495.0,9991
579,-33495.0,33495.0,9991
580,-33495.0,33495.0,9991
581,-33495.0,33495.0,9991
582,-33495.0,33495.0,9991
583,-33495.0,33495.0,9991
584,-33495.0,33495.0,9991
